disclosure_group,domain,total_request_count
Class 1,01net.com,13
Class 1,19216811.to,26
Class 1,acortar.link,26
Class 1,actionnewsjax.com,2
Class 1,adcolony.com,1
Class 1,americatv.com.pe,21
Class 1,anti-crise.fr,27
Class 1,appia.com,1
Class 1,arstechnica.com,34
Class 1,assamcareer.com,49
Class 1,aukro.cz,1
Class 1,beelup.com,5
Class 1,billedbladet.dk,4
Class 1,billingsgazette.com,6
Class 1,biovisions.in,36
Class 1,bismarcktribune.com,7
Class 1,blogdokaledri.com.br,30
Class 1,bonappetit.com,29
Class 1,bpboot.com,23
Class 1,brainly.co.id,2
Class 1,brainly.lat,2
Class 1,brainly.ph,2
Class 1,brainly.pl,2
Class 1,brainly.ro,2
Class 1,buffalonews.com,8
Class 1,businessinsider.com.pl,6
Class 1,carrefour.com.ar,3
Class 1,caughtoffside.com,18
Class 1,cfo.com,1
Class 1,ciodive.com,1
Class 1,cnbc.com,17
Class 1,cnbcafrica.com,8
Class 1,cntraveler.com,25
Class 1,cntraveller.in,38
Class 1,cocoland.cc,31
Class 1,comicsalliance.com,5
Class 1,cybersecuritydive.com,1
Class 1,dailyassam.com,26
Class 1,dailyprogress.com,6
Class 1,diariocorreo.pe,29
Class 1,diaryguru.com,43
Class 1,digitalturbine.com,1
Class 1,dummies.com,1
Class 1,ecoregistros.org,31
Class 1,efinancialcareers.com,10
Class 1,eonline.com,5
Class 1,epicurious.com,37
Class 1,everand.com,2
Class 1,expresso.pt,14
Class 1,fooddive.com,1
Class 1,football-espana.net,14
Class 1,football-italia.net,16
Class 1,fredericksburg.com,8
Class 1,fyber.com,1
Class 1,gamewith.net,15
Class 1,gardenandgun.com,8
Class 1,glamour.com,35
Class 1,glamour.mx,14
Class 1,gossiplankanews.com,52
Class 1,gq.com,29
Class 1,gq.com.mx,11
Class 1,gqindia.com,30
Class 1,gqjapan.jp,38
Class 1,greensboro.com,11
Class 1,grocerydive.com,1
Class 1,haberler.com,19
Class 1,healthcaredive.com,1
Class 1,helenair.com,9
Class 1,hotelkeyapp.com,2
Class 1,hrdive.com,1
Class 1,instmod.com,2
Class 1,irasutoya.com,6
Class 1,keralalotteries.net,45
Class 1,keralalotteriesresults.in,29
Class 1,keralalotteryresult.net,19
Class 1,kiro7.com,1
Class 1,knack.be,6
Class 1,ksat.com,1
Class 1,kw.be,7
Class 1,lacrossetribune.com,11
Class 1,lacucinaitaliana.it,33
Class 1,lapatilla.com,16
Class 1,lateja.cr,13
Class 1,levif.be,8
Class 1,libelle-lekker.be,8
Class 1,libero.pe,33
Class 1,logicieleducatif.fr,2
Class 1,loudwire.com,8
Class 1,macupdate.com,5
Class 1,madison.com,10
Class 1,madrasaguide.online,47
Class 1,malaykord.com,33
Class 1,matkaone.com,34
Class 1,mendozapost.com,14
Class 1,missoulian.com,7
Class 1,mobafire.com,23
Class 1,mobil123.com,7
Class 1,mtgdecks.net,5
Class 1,n1info.si,15
Class 1,naat-hindi.com,60
Class 1,natashaskitchen.com,15
Class 1,nbcsports.com,2
Class 1,ncvtonline.com,15
Class 1,netsons.net,2
Class 1,news4jax.com,1
Class 1,newyorker.com,28
Class 1,nj1015.com,5
Class 1,nova.cz,3
Class 1,novini.bg,4
Class 1,nwitimes.com,7
Class 1,odishagovtjob.in,26
Class 1,odztv.com,13
Class 1,omaha.com,8
Class 1,otomoto.pl,3
Class 1,pantagraph.com,6
Class 1,pesi.com,12
Class 1,pitchfork.com,32
Class 1,plusonline.nl,6
Class 1,pmumalins.com,65
Class 1,porofessor.gg,17
Class 1,poststar.com,7
Class 1,pressofatlanticcity.com,9
Class 1,puhutv.com,4
Class 1,punchbowl.com,9
Class 1,qctimes.com,4
Class 1,radioformula.com.mx,25
Class 1,rapidcityjournal.com,6
Class 1,ratsit.se,4
Class 1,rekoroyun.com,13
Class 1,relevantmagazine.com,29
Class 1,retaildive.com,1
Class 1,reviewjournal.com,16
Class 1,roanoke.com,7
Class 1,rottentomatoes.com,25
Class 1,rtl.nl,1
Class 1,screencrush.com,11
Class 1,self.com,38
Class 1,sharethis.com,1
Class 1,siouxcityjournal.com,6
Class 1,smart-gsm.com,45
Class 1,smartcitiesdive.com,1
Class 1,splash247.com,12
Class 1,standvirtual.com,3
Class 1,stltoday.com,9
Class 1,supplychaindive.com,1
Class 1,technoticiais.com.br,41
Class 1,ted.com,6
Class 1,teenvogue.com,34
Class 1,terra.com,31
Class 1,them.us,29
Class 1,tiempo3.com,22
Class 1,tntextbooks.in,19
Class 1,trib.com,7
Class 1,tulsaworld.com,5
Class 1,turfomania.fr,4
Class 1,tv2.dk,10
Class 1,tvn-2.com,18
Class 1,updatemarts.com,52
Class 1,utilitydive.com,1
Class 1,vanityfair.com,24
Class 1,vinted.es,9
Class 1,vinted.fi,11
Class 1,vinted.fr,9
Class 1,vinted.lu,10
Class 1,vinted.nl,9
Class 1,voetbalzone.nl,10
Class 1,vogue.co.jp,41
Class 1,vogue.com,35
Class 1,vogue.com.tw,5
Class 1,vogue.in,31
Class 1,vogue.mx,24
Class 1,voguearabia.com,21
Class 1,voguebusiness.com,10
Class 1,wacotrib.com,7
Class 1,wcfcourier.com,5
Class 1,webcamromania.ro,12
Class 1,wftv.com,2
Class 1,whio.com,1
Class 1,wired.co.uk,11
Class 1,wired.com,34
Class 1,wsls.com,3
Class 1,yugioh-starlight.com,8
Class 2,1000.menu,14
Class 2,1001freefonts.com,21
Class 2,1001tracklists.com,5
Class 2,10dakot.co.il,5
Class 2,10fastfingers.com,19
Class 2,1101.com,3
Class 2,123test.com,12
Class 2,192-168-1-1ip.mobi,6
Class 2,1kuji.com,1
Class 2,1worldsync.com,2
Class 2,24028-net.jp,3
Class 2,24liveresults.com,1
Class 2,24rosa.nl,1
Class 2,270towin.com,5
Class 2,2kratings.com,22
Class 2,2u.com,2
Class 2,350.org,3
Class 2,360learning.com,2
Class 2,3axis.co,49
Class 2,3dcart.com,3
Class 2,3dnatives.com,6
Class 2,3dprintingindustry.com,6
Class 2,4kidsgames.com,26
Class 2,4kzgame.com,22
Class 2,4t.com,2
Class 2,511tactical.com,2
Class 2,5xlgame.com,19
Class 2,8ballpool.com,1
Class 2,972mag.com,1
Class 2,a-premium.com,2
Class 2,a.ki,1
Class 2,a1.bg,2
Class 2,a1.rs,3
Class 2,a101.com.tr,4
Class 2,aaai.org,1
Class 2,aacsb.edu,2
Class 2,aans.org,3
Class 2,aap.org,7
Class 2,aarong.com,2
Class 2,aasm.org,3
Class 2,aasp.org.br,3
Class 2,abajournal.com,34
Class 2,abbi.io,1
Class 2,abc-clio.com,1
Class 2,abilitynet.org.uk,1
Class 2,abonoteatro.com,3
Class 2,aboutcookies.org,1
Class 2,abovethelaw.com,9
Class 2,abplive.com,29
Class 2,acaai.org,4
Class 2,acb.com.vn,5
Class 2,acc.com,3
Class 2,accessonline.com,13
Class 2,accredible.com,2
Class 2,acdsee.com,5
Class 2,aceee.org,2
Class 2,acefitness.org,5
Class 2,acenet.edu,1
Class 2,acfe.com,1
Class 2,achrnews.com,2
Class 2,acibadem.com.tr,3
Class 2,ackermans.co.za,3
Class 2,actionaid.org,3
Class 2,activecommunities.com,2
Class 2,actonsoftware.com,1
Class 2,actorsaccess.com,5
Class 2,ada.org,1
Class 2,adacado.com,6
Class 2,adadapted.com,3
Class 2,adam4adamsfw.com,26
Class 2,adameve.com,1
Class 2,adani.com,2
Class 2,adaptedmind.com,1
Class 2,add.ua,2
Class 2,adestra.com,1
